mu,sigma,Ann_Ret,Ann_Vol,Sharpe,Ticker,Sector
0.0006754972295124929,0.0337291670007083,0.17022530183714824,0.535433926879443,0.31792027604458417,HAL,Energy
0.00010010006828638113,0.023107795650409716,0.025225217208168043,0.36682488382730494,0.06876637414828067,HAS,Cons. Disc.
0.0004092365572738831,0.024979374090898735,0.10312761243301855,0.3965352705034092,0.2600717265379598,HBAN,Financials
0.001030851640277191,0.02300916482645579,0.25977461334985213,0.36525916803658004,0.7112062778499133,HCA,Healthcare
0.0004559662358447795,0.01767081181750533,0.11490349143288443,0.2805154412024423,0.40961556675933897,HD,Cons. Disc.
0.000410838591897523,0.018523475247956653,0.10353132515817579,0.29405105353652283,0.35208622418799324,HOLX,Healthcare
0.00023186757743716055,0.01686355804844373,0.05843062951416446,0.26770068489530296,0.21826850961183206,HON,Other
0.0005721748260967068,0.02483037254525472,0.14418805617637012,0.39416994429497937,0.36580175191760983,HPE,Technology
0.00033973719221695774,0.02419556558402678,0.08561377243867335,0.3840926961953289,0.2228987254554166,HPQ,Technology
-0.00029468216265307677,0.015500645995712532,-0.07425990498857535,0.24606512679302717,-0.30178963576190787,HRL,Cons. Staples
0.00025366515608618025,0.018713385338596615,0.06392361933371743,0.2970657827642933,0.21518338039099438,HSIC,Healthcare
0.000294985725088739,0.02526358910703778,0.07433640272236222,0.4010470440128539,0.1853558175583503,HST,Real Estate
0.000279056682744001,0.015656736600414955,0.07032228405148826,0.248542988325245,0.28293811273993397,HSY,Cons. Staples
0.0009319776020385743,0.02023266492529639,0.23485835571372074,0.3211835985146009,0.731227736409598,HUBB,Other
5.232211768348029e-05,0.023700737116579756,0.013185173656237033,0.37623753779632857,0.035044811672605244,HUM,Healthcare
0.0017731651085526022,0.026765173152499964,0.44683760735525574,0.4248839517545854,1.0516697689098666,HWM,Industrials
0.000699157415488957,0.017291585029212186,0.17618766870321717,0.27449540256853794,0.6418601807337206,IBM,Technology
0.0004873939299581464,0.015236851034496212,0.12282327034945288,0.2418775116060853,0.5077911937074965,ICE,Financials
0.0008805371813918787,0.022952028181714452,0.2218953697107534,0.36435215192017467,0.6090134737542818,IDXX,Healthcare
0.00015999450804271646,0.01682001960661462,0.04031861602676455,0.26700953355799656,0.15100066087343295,IEX,Industrials
-0.00020555549476242133,0.020723950104706255,-0.051799984680130175,0.3289825089597824,-0.15745513293067698,IFF,Materials
-0.0001802294280953018,0.028684937268920015,-0.04541781588001605,0.455359262322304,-0.09974062161026001,ILMN,Healthcare
0.00029469144820822425,0.020152637945270845,0.07426224494847251,0.31991320959066216,0.23213247444046814,INCY,Healthcare
0.0001175159755471653,0.02992340878393249,0.029614025837885655,0.4750193881296665,0.06234277290130711,INTC,Technology
0.0008687449954692886,0.023008091659149712,0.21892373885826072,0.36524213203373773,0.5993934424795181,INTU,Technology
0.00013164133057958332,0.018290568551843182,0.033173615306055,0.2903537743569352,0.1142523990932327,INVH,Real Estate
0.00018259829714009821,0.022027558515237064,0.04601477087930475,0.3496766509274427,0.13159234612108184,IP,Materials
0.00048282202077047724,0.021968913246278924,0.12167114923416027,0.3487456861440403,0.3488821627571536,IQV,Healthcare
0.0007383779935742183,0.021421160491276885,0.186071254380703,0.34005038072592497,0.5471873137841694,IR,Industrials
0.000880534146929139,0.020664542230112343,0.22189460502614303,0.328039438187216,0.6764266097160706,IRM,Real Estate
0.0009446786095156473,0.02244172504909367,0.2380590095979431,0.3562513408271438,0.6682333013686855,ISRG,Healthcare
